tag_alias,number,max_rssi,arm_x,arm_y,arm_z,elapsed_time
pose-center,1,-53.900001525878906,1.1590042597053547,0.01916201141511098,0.32559030481357776,23.550983428955078
pose-center,2,-56.400001525878906,1.1546119305017515,0.0009927479401054965,0.3250535725679494,24.582033157348633
pose-center,3,-54.79999923706055,1.1694204161183548,0.0627813778104949,0.3245649246851008,24.00172996520996
pose-center,4,-52.29999923706055,1.1495296126084438,-0.02094248024934113,0.32478822646892985,24.191539764404297
pose-center,5,-53.900001525878906,1.1572215292366015,0.011910605219377597,0.3258267856116348,25.917593002319336
120mm,1,-37.79999923706055,1.1464998340789314,-0.034808327553239315,0.32685970304970435,24.29265022277832
120mm,2,-36.70000076293945,1.1400532324081896,-0.06264644233946233,0.32704291768382576,25.43184471130371
120mm,3,-38.29999923706055,1.1406966985388136,-0.058487628344848025,0.3260528789634304,26.774370193481445
120mm,4,-39.599998474121094,1.1357046804044624,-0.08134095402933088,0.3261264079267534,24.92314910888672
120mm,5,-38.900001525878906,1.1407879838681305,-0.05744434305512413,0.32460724913838823,26.84928321838379
pose-left,1,-71.0999984741211,0.8023076126614974,-0.1746795384247656,0.3799564557105364,9.50051498413086
pose-left,2,-68.4000015258789,0.9113027780440176,-0.16523484052471835,0.33762510132302603,39.42238235473633
pose-left,3,-66.80000305175781,0.8721164715829199,-0.137094212142299,0.38300468531137855,12.2114839553833
pose-left,4,-74.4000015258789,0.9157368307453155,-0.1665736994854707,0.33334080683830924,41.50214767456055
pose-left,5,-69.69999694824219,0.9321543124641501,-0.1509075704801613,0.3379881113664821,39.428401947021484
